Designator,Pin Name,Net,Bus,Type,Part No.,Pin Group,IO Bank,Pin Number,Site
,,,,,,,,,
A10,IO_L16N_T2_34,ADC_CLKOUT17,ADC_CLKOUT,I/O,10,,,,
A12,IO_L24N_T3_AD15N_35,ADC_CLKOUT12,ADC_CLKOUT,I/O,11,,,,
A13,IO_L24P_T3_AD15P_35,ADC_SDOA11,ADC_SDOA,I/O,11,,,,
A14,IO_L21N_T3_DQS_AD14N_35,ADC_SDOA5,ADC_SDOA,I/O,11,,,,
A15,IO_L21P_T3_DQS_AD14P_35,ADC_CLKOUT3,ADC_CLKOUT,I/O,11,,,,
A17,IO_L18N_T2_AD13N_35,ADC_SDOB3,ADC_SDOB,I/O,11,,,,
A2,IO_L24N_T3_34,ADC_SDOB24,ADC_SDOB,I/O,10,,,,
A24,PS_MIO8_500,VMODE1,,I/O,4,,,,
A3,IO_L22N_T3_34,ADC_CLKOUT23,ADC_CLKOUT,I/O,10,,,,
A4,IO_L22P_T3_34,ADC_SDOC10,ADC_SDOC,I/O,10,,,,
A5,IO_L21N_T3_DQS_34,ADC_SDOD16,ADC_SDOD,I/O,10,,,,
A7,IO_L18N_T2_34,ADC_CLKOUT10,ADC_CLKOUT,I/O,10,,,,
A8,IO_L17N_T2_34,ADC_SDOD22,ADC_SDOD,I/O,10,,,,
A9,IO_L17P_T2_34,ADC_SDOD17,ADC_SDOD,I/O,10,,,,
AA10,IO_L3N_T0_DQS_12,NetD16_AA10,,I/O,7,,,,
AA12,IO_L6N_T0_VREF_12,PL_STATUS_G1,,I/O,7,,,,
AA13,IO_L6P_T0_12,PL_STATUS_R1,,I/O,7,,,,
AA14,IO_L22N_T3_12,NetD16_AA14,,I/O,7,,,,
AA15,IO_L22P_T3_12,NetD16_AA15,,I/O,7,,,,
AA17,IO_L19N_T3_VREF_12,NetD16_AA17,,I/O,7,,,,
AA18,IO_L24N_T3_13,NetD16_AA18,,I/O,8,,,,
AA19,IO_L22P_T3_13,NetD16_AA19,,I/O,8,,,,
AA20,IO_L20P_T3_13,NetD16_AA20,,I/O,8,,,,
AA22,IO_L10P_T1_13,PL_GPIO_0,,I/O,8,,,,
AA23,IO_L10N_T1_13,PL_GPIO_1,,I/O,8,,,,
AA24,IO_L6P_T0_13,NetD16_AA24,,I/O,8,,,,
AA25,IO_L1P_T0_13,NetD16_AA25,,I/O,8,,,,
AB10,IO_L4N_T0_12,NetD16_AB10,,I/O,7,,,,
AB11,IO_L4P_T0_12,NetD16_AB11,,I/O,7,,,,
AB12,IO_L2P_T0_12,NetD16_AB12,,I/O,7,,,,
AB14,IO_L14N_T2_SRCC_12,NetD16_AB14,,I/O,7,,,,
AB15,IO_L14P_T2_SRCC_12,NetD16_AB15,,I/O,7,,,,
AB16,IO_L20N_T3_12,NetD16_AB16,,I/O,7,,,,
AB17,IO_L20P_T3_12,NetD16_AB17,,I/O,7,,,,
AB19,IO_L22N_T3_13,NetD16_AB19,,I/O,8,,,,
AB20,IO_L20N_T3_13,NetD16_AB20,,I/O,8,,,,
AB21,IO_L9P_T1_DQS_13,NetD16_AB21,,I/O,8,,,,
AB22,IO_L9N_T1_DQS_13,NetD16_AB22,,I/O,8,,,,
AB24,IO_L6N_T0_VREF_13,NetD16_AB24,,I/O,8,,,,
AB25,IO_L1N_T0_13,NetD16_AB25,,I/O,8,,,,
AB26,IO_L2P_T0_13,NetD16_AB26,,I/O,8,,,,
AC11,IO_L2N_T0_12,NetD16_AC11,,I/O,7,,,,
AC12,IO_L11P_T1_SRCC_12,NetD16_AC12,,I/O,7,,,,
AC13,IO_L12P_T1_MRCC_12,NetD16_AC13,,I/O,7,,,,
AC14,IO_L13P_T2_MRCC_12,NetD16_AC14,,I/O,7,,,,
AC16,IO_L21N_T3_DQS_12,NetD16_AC16,,I/O,7,,,,
AC17,IO_L21P_T3_DQS_12,NetD16_AC17,,I/O,7,,,,
AC18,IO_L21P_T3_DQS_13,NetD16_AC18,,I/O,8,,,,
AC19,IO_L21N_T3_DQS_13,NetD16_AC19,,I/O,8,,,,
AC21,IO_L14P_T2_SRCC_13,NetD16_AC21,,I/O,8,,,,
AC22,IO_L14N_T2_SRCC_13,NetD16_AC22,,I/O,8,,,,
AC23,IO_L12P_T1_MRCC_13,NetD16_AC23,,I/O,8,,,,
AC24,IO_L12N_T1_MRCC_13,NetD16_AC24,,I/O,8,,,,
AC26,IO_L2N_T0_13,NetD16_AC26,,I/O,8,,,,
AD10,IO_L7N_T1_12,NetD16_AD10,,I/O,7,,,,
AD11,IO_L11N_T1_SRCC_12,NetD16_AD11,,I/O,7,,,,
AD13,IO_L12N_T1_MRCC_12,NetD16_AD13,,I/O,7,,,,
AD14,IO_L13N_T2_MRCC_12,NetD16_AD14,,I/O,7,,,,
AD15,IO_L15N_T2_DQS_12,NetD16_AD15,,I/O,7,,,,
AD16,IO_L15P_T2_DQS_12,NetD16_AD16,,I/O,7,,,,
AD18,IO_L17P_T2_13,NetD16_AD18,,I/O,8,,,,
AD19,IO_L17N_T2_13,NetD16_AD19,,I/O,8,,,,
AD20,IO_L13P_T2_MRCC_13,NetD16_AD20,,I/O,8,,,,
AD21,IO_L13N_T2_MRCC_13,NetD16_AD21,,I/O,8,,,,
AD23,IO_L11P_T1_SRCC_13,PL_GPIO_2,,I/O,8,,,,
AD24,IO_L11N_T1_SRCC_13,PL_GPIO_3,,I/O,8,,,,
AD25,IO_L4P_T0_13,NetD16_AD25,,I/O,8,,,,
AD26,IO_L4N_T0_13,NetD16_AD26,,I/O,8,,,,
AE10,IO_L7P_T1_12,PL_STATUS_Y1,,I/O,7,,,,
AE11,IO_L9P_T1_DQS_12,NetD16_AE11,,I/O,7,,,,
AE12,IO_L8P_T1_12,NetD16_AE12,,I/O,7,,,,
AE13,IO_L10P_T1_12,NetD16_AE13,,I/O,7,,,,
AE15,IO_L17N_T2_12,NetD16_AE15,,I/O,7,,,,
AE16,IO_L17P_T2_12,NetD16_AE16,,I/O,7,,,,
AE17,IO_L18P_T2_12,NetD16_AE17,,I/O,7,,,,
AE18,IO_L18P_T2_13,NetD16_AE18,,I/O,8,,,,
AE20,IO_L16P_T2_13,NetD16_AE20,,I/O,8,,,,
AE21,IO_L16N_T2_13,NetD16_AE21,,I/O,8,,,,
AE22,IO_L7P_T1_13,PL_STATUS_R2,,I/O,8,,,,
AE23,IO_L8P_T1_13,PL_STATUS_Y2,,I/O,8,,,,
AE25,IO_L3P_T0_DQS_13,NetD16_AE25,,I/O,8,,,,
AE26,IO_L3N_T0_DQS_13,NetD16_AE26,,I/O,8,,,,
AF10,IO_L9N_T1_DQS_12,NetD16_AF10,,I/O,7,,,,
AF12,IO_L8N_T1_12,NetD16_AF12,,I/O,7,,,,
AF13,IO_L10N_T1_12,NetD16_AF13,,I/O,7,,,,
AF14,IO_L16N_T2_12,NetD16_AF14,,I/O,7,,,,
AF15,IO_L16P_T2_12,NetD16_AF15,,I/O,7,,,,
AF17,IO_L18N_T2_12,NetD16_AF17,,I/O,7,,,,
AF18,IO_L18N_T2_13,NetD16_AF18,,I/O,8,,,,
AF19,IO_L15P_T2_DQS_13,NetD16_AF19,,I/O,8,,,,
AF20,IO_L15N_T2_DQS_13,NetD16_AF20,,I/O,8,,,,
AF22,IO_L7N_T1_13,PL_STATUS_G2,,I/O,8,,,,
